epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,541.722,2.4409,1.16554,1.66532,0.8443,0.76577,0.81205,0.52396,1.70944,0.92967,1.20979,0.070303,0.00329966,0.00329966
2,1068.62,1.62395,0.90117,1.15704,0.83415,0.79443,0.85141,0.5823,1.50953,0.88905,1.09762,0.04024,0.00656998,0.00656998
3,1557.71,1.49774,0.85658,1.08291,0.8185,0.82105,0.85659,0.58141,1.4568,0.84888,1.07254,0.0101137,0.00977697,0.00977697
4,2059.87,1.45038,0.82594,1.05477,0.88193,0.8059,0.87586,0.62482,1.39725,0.73926,1.04886,0.009715,0.009715,0.009715
5,2550.35,1.4199,0.80095,1.04855,0.8627,0.8362,0.88629,0.60802,1.42217,0.74921,1.04065,0.00962,0.00962,0.00962
6,3060.67,1.3839,0.75396,1.03393,0.89286,0.81564,0.88652,0.63623,1.38008,0.71537,1.02703,0.009525,0.009525,0.009525
7,3564.84,1.36661,0.73512,1.02883,0.88002,0.83798,0.89227,0.64772,1.3034,0.71308,1.01628,0.00943,0.00943,0.00943
8,4080.95,1.3883,0.72753,1.02985,0.86482,0.85012,0.89531,0.63678,1.35436,0.70965,1.01485,0.009335,0.009335,0.009335
9,4588.15,1.34779,0.70488,1.01548,0.86968,0.84357,0.89812,0.65995,1.28119,0.67328,1.0019,0.00924,0.00924,0.00924
10,5096.73,1.3449,0.70187,1.01505,0.88597,0.84317,0.90439,0.65648,1.30375,0.66423,1.00372,0.009145,0.009145,0.009145
11,5605.79,1.33768,0.69674,1.0145,0.89325,0.83612,0.90205,0.65811,1.30585,0.66418,1.00122,0.00905,0.00905,0.00905
12,6105.3,1.31377,0.67619,1.00508,0.90053,0.83415,0.89769,0.66078,1.26584,0.65559,0.99213,0.008955,0.008955,0.008955
13,6603.47,1.29571,0.65783,1.00469,0.88469,0.85053,0.9084,0.66027,1.27704,0.66889,0.99553,0.00886,0.00886,0.00886
14,7100.34,1.28043,0.64773,0.99798,0.89951,0.84193,0.90324,0.6596,1.29743,0.6483,0.98988,0.008765,0.008765,0.008765
15,7601.63,1.29994,0.66199,0.99938,0.90254,0.83825,0.90857,0.65542,1.33562,0.64511,0.99367,0.00867,0.00867,0.00867
16,8120.98,1.28263,0.63141,0.98828,0.90345,0.84299,0.90658,0.66841,1.26984,0.61446,0.98665,0.008575,0.008575,0.008575
17,8641.12,1.27403,0.64087,0.99256,0.90036,0.84369,0.90952,0.66951,1.27259,0.63598,0.98503,0.00848,0.00848,0.00848
18,9127.71,1.2586,0.63983,0.9878,0.90665,0.84398,0.90434,0.67391,1.22854,0.62078,0.97806,0.008385,0.008385,0.008385
19,9608.48,1.26063,0.6305,0.98771,0.91005,0.84808,0.91287,0.68709,1.2078,0.59434,0.97517,0.00829,0.00829,0.00829
20,10092.5,1.28083,0.63499,0.98612,0.90761,0.84889,0.91386,0.68447,1.20419,0.60467,0.97039,0.008195,0.008195,0.008195
21,10569.4,1.2634,0.62087,0.98255,0.9059,0.84759,0.91611,0.68219,1.23905,0.60074,0.97211,0.0081,0.0081,0.0081
22,11048.2,1.26412,0.6309,0.98403,0.89439,0.85872,0.91685,0.68396,1.20561,0.59661,0.9713,0.008005,0.008005,0.008005
23,11525.4,1.25553,0.614,0.9858,0.90079,0.85516,0.91677,0.68562,1.22119,0.60415,0.9696,0.00791,0.00791,0.00791
24,12002,1.25127,0.61624,0.98062,0.91025,0.85137,0.91687,0.68655,1.21429,0.59189,0.96844,0.007815,0.007815,0.007815
25,12493,1.23696,0.61714,0.97447,0.90515,0.85504,0.91157,0.66991,1.28159,0.60842,0.97501,0.00772,0.00772,0.00772
26,13008.3,1.235,0.59949,0.97037,0.90253,0.86075,0.91758,0.69012,1.2088,0.59309,0.96563,0.007625,0.007625,0.007625
27,13567.9,1.23421,0.59783,0.98177,0.90936,0.8534,0.91961,0.68609,1.19138,0.59133,0.96423,0.00753,0.00753,0.00753
28,14204.9,1.23306,0.59892,0.97596,0.90769,0.85954,0.92128,0.68007,1.259,0.58896,0.96804,0.007435,0.007435,0.007435
29,14880.1,1.21991,0.59996,0.97262,0.89939,0.86159,0.91975,0.67855,1.22289,0.60778,0.96412,0.00734,0.00734,0.00734
30,15504.8,1.22194,0.59604,0.97147,0.91234,0.85299,0.92178,0.6846,1.21782,0.5844,0.96305,0.007245,0.007245,0.007245
31,16139,1.21249,0.59145,0.97105,0.90649,0.86446,0.92184,0.69185,1.2023,0.57165,0.96003,0.00715,0.00715,0.00715
32,16688.6,1.2087,0.59028,0.96934,0.90056,0.87518,0.92275,0.68824,1.204,0.5776,0.95811,0.007055,0.007055,0.007055
33,17230.3,1.23666,0.60012,0.97135,0.89898,0.8782,0.91742,0.69789,1.16722,0.57159,0.95453,0.00696,0.00696,0.00696
34,17777.3,1.21618,0.58925,0.96831,0.90324,0.87535,0.92493,0.68527,1.18769,0.58051,0.95742,0.006865,0.006865,0.006865
35,18338,1.20692,0.58608,0.96584,0.89806,0.87674,0.9219,0.68332,1.24092,0.57448,0.96047,0.00677,0.00677,0.00677
36,18842.9,1.20171,0.58217,0.9597,0.90201,0.87456,0.9195,0.69171,1.20709,0.56697,0.95767,0.006675,0.006675,0.006675
37,19384.4,1.20407,0.5757,0.96287,0.90714,0.87142,0.92338,0.68721,1.23409,0.56753,0.95701,0.00658,0.00658,0.00658
38,19926.9,1.19849,0.57413,0.96102,0.90197,0.88165,0.92188,0.69849,1.16982,0.56928,0.94849,0.006485,0.006485,0.006485
39,20461.8,1.19261,0.57861,0.95891,0.90558,0.87979,0.92356,0.69922,1.17249,0.56337,0.9518,0.00639,0.00639,0.00639
40,20997.1,1.20282,0.57601,0.9574,0.90524,0.87626,0.9241,0.69397,1.19432,0.56656,0.95187,0.006295,0.006295,0.006295
41,21550.6,1.19654,0.57247,0.95961,0.90549,0.88084,0.92376,0.69613,1.18738,0.55581,0.95093,0.0062,0.0062,0.0062
42,22086.9,1.18938,0.55961,0.9592,0.90989,0.87246,0.92093,0.69977,1.16971,0.55157,0.94879,0.006105,0.006105,0.006105
43,22630.8,1.18622,0.55724,0.95691,0.9085,0.87469,0.92252,0.70128,1.17541,0.54958,0.94594,0.00601,0.00601,0.00601
44,23181.1,1.19531,0.56698,0.95779,0.90637,0.88124,0.92447,0.70326,1.16019,0.54623,0.94412,0.005915,0.005915,0.005915
45,23722.7,1.17702,0.55744,0.95626,0.90819,0.8792,0.92097,0.69704,1.1695,0.55529,0.94907,0.00582,0.00582,0.00582
46,24259.5,1.16474,0.55068,0.95151,0.90589,0.88296,0.92297,0.69722,1.18916,0.54743,0.94967,0.005725,0.005725,0.005725
47,24818.2,1.16164,0.55873,0.952,0.90678,0.88043,0.91954,0.69904,1.16476,0.54888,0.94509,0.00563,0.00563,0.00563
48,25347.5,1.17017,0.54709,0.95319,0.90121,0.88157,0.92298,0.70091,1.17962,0.54687,0.94731,0.005535,0.005535,0.005535
49,25870.7,1.19057,0.56431,0.95451,0.91004,0.8751,0.92618,0.69302,1.18657,0.55258,0.94825,0.00544,0.00544,0.00544
50,26412.9,1.18577,0.55764,0.95441,0.91118,0.87797,0.92284,0.70067,1.17083,0.54797,0.94451,0.005345,0.005345,0.005345
51,26953.2,1.18587,0.56158,0.95539,0.91066,0.8792,0.92378,0.69953,1.17494,0.54124,0.94329,0.00525,0.00525,0.00525
52,27490.5,1.15534,0.54469,0.94743,0.90918,0.88141,0.92378,0.70369,1.16802,0.5416,0.94329,0.005155,0.005155,0.005155
53,28060,1.17199,0.55493,0.95556,0.90825,0.88371,0.9228,0.70194,1.16713,0.5412,0.94578,0.00506,0.00506,0.00506
54,28581.9,1.15343,0.54063,0.94871,0.90777,0.87863,0.92551,0.69837,1.1842,0.54066,0.94755,0.004965,0.004965,0.004965
55,29099,1.16634,0.54597,0.9517,0.90616,0.8837,0.92429,0.70226,1.16971,0.53996,0.94485,0.00487,0.00487,0.00487
56,29600.8,1.16519,0.55191,0.95002,0.90583,0.88206,0.92429,0.70956,1.14992,0.53405,0.94003,0.004775,0.004775,0.004775
57,30104.6,1.14199,0.5381,0.94703,0.90869,0.88025,0.92713,0.7045,1.16142,0.54092,0.94117,0.00468,0.00468,0.00468
58,30612.6,1.1627,0.54749,0.95244,0.90432,0.88632,0.92642,0.70384,1.1514,0.53427,0.94126,0.004585,0.004585,0.004585
59,31118.6,1.15601,0.54481,0.95046,0.90648,0.88518,0.92529,0.70025,1.1853,0.53367,0.94476,0.00449,0.00449,0.00449
60,31629.8,1.15859,0.54333,0.94527,0.9105,0.87898,0.92331,0.71035,1.13806,0.53001,0.94053,0.004395,0.004395,0.004395
61,32142.1,1.14724,0.53709,0.94901,0.9134,0.87677,0.92813,0.70604,1.16035,0.53189,0.94399,0.0043,0.0043,0.0043
62,32652.6,1.15384,0.53028,0.95107,0.91166,0.88328,0.92845,0.70798,1.15318,0.52394,0.93845,0.004205,0.004205,0.004205
63,33161.4,1.14733,0.53668,0.94894,0.902,0.89066,0.93047,0.70595,1.15582,0.53056,0.94224,0.00411,0.00411,0.00411
64,33693.5,1.17032,0.53639,0.95204,0.9128,0.88329,0.92528,0.70716,1.14885,0.52782,0.93976,0.004015,0.004015,0.004015
65,34205.9,1.1563,0.53494,0.94837,0.91306,0.8792,0.92605,0.70514,1.16133,0.5293,0.93971,0.00392,0.00392,0.00392
66,34725.3,1.14793,0.53699,0.94802,0.91627,0.88002,0.92635,0.70411,1.16078,0.5282,0.93889,0.003825,0.003825,0.003825
67,35242.1,1.14394,0.53622,0.94219,0.91452,0.88165,0.92731,0.71231,1.1345,0.52317,0.93547,0.00373,0.00373,0.00373
68,35765.2,1.15163,0.53065,0.94468,0.90923,0.88288,0.92703,0.70988,1.1431,0.52583,0.93634,0.003635,0.003635,0.003635
69,36294.8,1.14404,0.53842,0.94315,0.91222,0.88514,0.92735,0.70811,1.14529,0.52498,0.93544,0.00354,0.00354,0.00354
70,36819,1.14603,0.52715,0.94775,0.90889,0.88242,0.92869,0.71379,1.12256,0.52191,0.93483,0.003445,0.003445,0.003445
71,37323.9,1.15225,0.52999,0.9453,0.90073,0.89107,0.92772,0.7087,1.14233,0.52876,0.93853,0.00335,0.00335,0.00335
72,37847.9,1.14913,0.53299,0.94762,0.90848,0.87808,0.92579,0.70726,1.14579,0.52625,0.93673,0.003255,0.003255,0.003255
73,38350.5,1.13672,0.52867,0.94374,0.91401,0.88206,0.9286,0.7085,1.15324,0.52592,0.93714,0.00316,0.00316,0.00316
74,38855.1,1.13086,0.52391,0.94326,0.91592,0.87881,0.92805,0.71195,1.13135,0.5175,0.93204,0.003065,0.003065,0.003065
75,39361.6,1.13549,0.52022,0.93943,0.92133,0.87715,0.93008,0.71056,1.14842,0.51709,0.93643,0.00297,0.00297,0.00297
76,39867,1.12932,0.52904,0.9395,0.91394,0.88288,0.92958,0.71134,1.13719,0.51827,0.93559,0.002875,0.002875,0.002875
77,40370.3,1.14127,0.52831,0.93999,0.91975,0.87768,0.92875,0.70799,1.14713,0.5227,0.93603,0.00278,0.00278,0.00278
78,40880.6,1.14467,0.52398,0.94648,0.91826,0.87863,0.92844,0.71449,1.12459,0.5178,0.93323,0.002685,0.002685,0.002685
79,41391.8,1.14513,0.52092,0.9429,0.90595,0.88411,0.92951,0.71126,1.12824,0.51926,0.93425,0.00259,0.00259,0.00259
80,41902.6,1.11359,0.51948,0.93647,0.91176,0.8843,0.92959,0.70631,1.15485,0.51731,0.93615,0.002495,0.002495,0.002495
81,42412.6,1.13976,0.52197,0.93824,0.91563,0.88206,0.92789,0.71177,1.13018,0.51688,0.93157,0.0024,0.0024,0.0024
82,42922.5,1.13687,0.5264,0.94288,0.91099,0.88433,0.92941,0.71239,1.13214,0.51507,0.93074,0.002305,0.002305,0.002305
83,43427.3,1.14564,0.52201,0.94363,0.91222,0.8878,0.9285,0.71438,1.11943,0.51699,0.93013,0.00221,0.00221,0.00221
84,43932.4,1.1562,0.52979,0.94799,0.91279,0.88616,0.92869,0.70994,1.14739,0.51717,0.93329,0.002115,0.002115,0.002115
85,44437.5,1.13114,0.51423,0.94069,0.91324,0.8836,0.92985,0.71405,1.13027,0.51275,0.93068,0.00202,0.00202,0.00202
86,44943.4,1.13538,0.52182,0.94124,0.91571,0.88083,0.92903,0.71434,1.12327,0.51461,0.92995,0.001925,0.001925,0.001925
87,45451.1,1.12425,0.51889,0.94153,0.91708,0.88315,0.92877,0.71737,1.11646,0.51336,0.92873,0.00183,0.00183,0.00183
88,45955.3,1.12168,0.51362,0.93654,0.91556,0.8836,0.92911,0.71379,1.13647,0.51476,0.93178,0.001735,0.001735,0.001735
89,46460.4,1.13675,0.52146,0.94446,0.91862,0.8783,0.9293,0.71524,1.12864,0.51261,0.93136,0.00164,0.00164,0.00164
90,46964.1,1.11811,0.51337,0.93594,0.90993,0.89107,0.9298,0.71325,1.13562,0.51377,0.93209,0.001545,0.001545,0.001545
91,47467.7,1.08948,0.49188,0.92634,0.90474,0.89353,0.92892,0.71189,1.14265,0.51333,0.93154,0.00145,0.00145,0.00145
92,47971.3,1.09349,0.49625,0.92485,0.92534,0.87292,0.92995,0.71685,1.11553,0.51518,0.92907,0.001355,0.001355,0.001355
93,48475,1.09112,0.49404,0.92499,0.90958,0.88974,0.92993,0.71391,1.13119,0.51323,0.92983,0.00126,0.00126,0.00126
94,48974.9,1.09323,0.49664,0.92993,0.90731,0.88984,0.93058,0.71505,1.12853,0.51313,0.9291,0.001165,0.001165,0.001165
95,49476.7,1.09647,0.49123,0.9254,0.92507,0.87305,0.93175,0.71526,1.1238,0.51101,0.92868,0.00107,0.00107,0.00107
96,49978.3,1.07819,0.49492,0.92198,0.92283,0.87656,0.93098,0.71426,1.12927,0.51354,0.92867,0.000975,0.000975,0.000975
97,50484.3,1.09102,0.49286,0.92644,0.92142,0.87867,0.93018,0.71544,1.12689,0.5091,0.92902,0.00088,0.00088,0.00088
98,50986,1.09557,0.4925,0.92852,0.91632,0.88339,0.92874,0.71556,1.12222,0.51015,0.92898,0.000785,0.000785,0.000785
99,51492.3,1.08977,0.48743,0.92687,0.91981,0.87835,0.92898,0.71577,1.12753,0.50921,0.92894,0.00069,0.00069,0.00069
100,52004.1,1.08773,0.48825,0.92627,0.92191,0.87504,0.92919,0.71702,1.12483,0.50934,0.92861,0.000595,0.000595,0.000595
